Broad category code,Broad Category,Subcategory Code,Subcategory Name,Full Definition
3,3. Operational Process Controls,3.4,Staged Deployment,"Implementation protocols that deploy AI systems in stages, requiring safety validation before expanding user access or capabilities. Examples: Limited API access programs, gradual user base expansion, capability threshold assessments, pre-deployment validation procedures, treating model updates as new deployments."
3,3. Operational Process Controls,3.5,Post-deployment Monitoring,"Ongoing monitoring processes that track AI behavior, user interactions, and societal impacts post-deployment to detect misuse, emergent dangerous capabilities, and harmful effects. Examples: User interaction tracking systems, capability evaluation assessments, periodic impact reports, automated misuse detection, usage pattern analysis tools."
3,3. Operational Process Controls,3.6,Incident Response & Recovery,"Protocols and technical systems that respond to security incidents, safety failures, or capability misuse to contain harm and restore safe operations. Examples: Incident response plans, emergency shutdown/rollback procedures, model containment mechanisms, safety drills, critical infrastructure protection measures."
3,3. Operational Process Controls,3.7,Incident Investigation,"Post-incident analyses and investigations that assess system behavior, organizational processes, and third-party contributions to identify causes and prevent recurrence. Examples: Root Cause Analysis, Vulnerability Assessment, System Investigation, Vendor Investigation, Internal Reviews, Compliance Audits, Management Investigations."
4,4. Transparency & Accountability Controls,4.1,System Documentation,"Comprehensive documentation protocols that record technical specifications, intended uses, capabilities, and limitations of AI systems to enable informed evaluation and governance. Examples: Model cards, system architecture documentation, compute resource disclosures, safety test result reports, system prompt, model specifications."
4,4. Transparency & Accountability Controls,4.2,Risk Disclosure,"Formal reporting protocols and notification systems that communicate risk information, mitigation plans, safety evaluations, and significant AI activities to enable external oversight and inform stakeholders. Examples: Publishing risk assessment summaries, pre-deployment notifications to government, reporting large training runs, disclosing mitigation strategies, notifying affected parties."
4,4. Transparency & Accountability Controls,4.3,Incident Reporting,"Formal processes and protocols that document and share AI safety incidents, security breaches, near-misses, and relevant threat intelligence with appropriate stakeholders to enable coordinated responses and systemic improvements. Examples: Cyber threat intelligence sharing networks, mandatory breach notification procedures, incident database contributions, cross-industry safety reporting mechanisms, standardized near-miss documentation protocols."
4,4. Transparency & Accountability Controls,4.4,Governance Disclosure,"Formal disclosure mechanisms that communicate governance structures, decision frameworks, and safety commitments to enhance transparency and enable external oversight of high-stakes AI decisions. Examples: Published safety and/or alignment strategies, governance documentation, safety cases, model registration protocols, public commitment disclosures."
4,4. Transparency & Accountability Controls,4.5,Third-Party System Access,"Mechanisms granting controlled system access to vetted external parties to enable independent assessment, validation, and safety research of AI models and capabilities. Examples: Researcher access programs, third-party capability assessments, government access provisions, legal safe harbors for public interest evaluations."
4,4. Transparency & Accountability Controls,4.6,User Rights & Recourse,"Frameworks and procedures that enable users to identify and understand AI system interactions, report issues, request explanations, and seek recourse or remediation when affected by AI systems. Examples: User reporting channels, appeal processes, explanation request systems, remediation protocols, content verification."
4,4. Transparency & Accountability Controls,4.7,Training & Supportive Measures,"Human-centered measures for training and supporting, including help for workers, users of systems, the public, etc. Examples: Workforce retraining programs, Expansion of moderation teams, Redeployment actions, Hiring safety, Education and training, User support and crisis guidance, Professional review, Victim support and counseling, Media literacy and education."
5,5. Corrective & Restrictive Actions,5.1,System & Feature Restrictions,"Technical or product-level actions that limit, disable, or remove AI system capabilities or features to reduce harm, prevent misuse, or manage risk. Examples: Feature or capability removal (ban/disable), Service or model withdrawal (take offline/sunset), Feature exclusion (preventing classes of queries/predictions)."
5,5. Corrective & Restrictive Actions,5.2,Usage & Access Limitations,"Organizational or operational actions that restrict, pause, or limit the deployment or use of AI systems in specific contexts, regions, sectors, or high-risk scenarios, to manage risk. Examples: Halting deployment in a country or region, Pausing a product rollout, Suspending a high-risk project, Restricting deployment to low-risk sectors, Limiting functionality in specific operational contexts, Project or model suspension for risk mitigation."
6,"6. Legal, Regulatory & Enforcement Actions",6.1,Court & Law Enforcement Interventions,"AI-incident mitigations involving courts and law-enforcement authorities that enforce legally binding accountability through litigation, criminal proceedings, or coercive legal powers. Examples: Lawsuits, litigation, settlements, and cease-and-desist letters, Court hearings, Orders, Injunctions, Consent decrees, Civil settlement agreements and court-ordered monetary damages."
6,"6. Legal, Regulatory & Enforcement Actions",6.2,Regulatory Policy & Legal Mandates,"AI-incident mitigations imposed by regulators or governments to ensure compliance, restrict AI use, or reshape the legal and market environment. Examples: Government Investigations, Compliance Mandates, Enforcement Measures, Administrative Fines, Regulatory Directives, Mandatory Reporting Obligations, Legislation."
7,"7. Financial, Economic & Market Controls",7.1,"Financial, Economic & Compensation Remedies","AI-incident mitigations that impose financial costs, economic constraints, or monetary redress to deter harm or compensate affected parties. Examples: Taxation, Economic disincentives, Sanctions, Trade restrictions, Financial controls, Restitution frameworks, Consumer compensation, Settlements, Licensing/royalties."
7,"7. Financial, Economic & Market Controls",7.2,Market Access & Commercial Restrictions,"AI-incident mitigations that limit or prohibit participation in commercial or institutional markets to reduce risk or exposure. Examples: Delistings, Procurement/contracting prohibitions, Corporate moratoria, Voluntary sales restrictions."
8,8. Avoidance & Denial,8.1,Denial & Defensive-Based Actions,"Defensive actions or actions and statements referring to refusal of risks and harms. Examples: Formal denial of responsibility or intent, Refusal to comply with removal/disassociation requests, Reiteration of legal or policy defenses in response to complaints."
